Rank,Release Group,Worldwide,Domestic,Domestic %,Foreign,Foreign %,Year
128,Ice Age: The Meltdown,660998756,195330621,0.29550830349822926,465668135,0.7044916965017707,2006
129,The Hunger Games: Mockingjay - Part 2,658344137,281723902,0.4279280184430351,376620235,0.5720719815569649,2015
130,Justice League,657924295,229024295,0.3481012887660578,428900000,0.6518987112339422,2017
131,Big Hero 6,657827828,222527828,0.33827670178769026,435300000,0.6617232982123098,2014
132,Fantastic Beasts: The Crimes of Grindelwald,654855901,159555901,0.24365039813545178,495300000,0.7563496018645482,2018
133,Pirates of the Caribbean: The Curse of the Black Pearl,654264015,305413918,0.4668053125312111,348850097,0.5331946874687888,2003
134,Star Wars: Episode II - Attack of the Clones,645256452,302191252,0.4683273620331037,343065200,0.5316726379668963,2002
135,Thor: The Dark World,644783140,206362140,0.32004890822672566,438421000,0.6799510917732744,2013
136,Moana,643331111,248757044,0.38667031602642327,394574067,0.6133296839735767,2016
137,Sing,634151679,270395425,0.42638919670825315,363756254,0.5736108032917469,2016
138,Kung Fu Panda,631744560,215434591,0.3410153480387706,416309969,0.6589846519612294,2008
139,The Incredibles,631442092,261441092,0.4140381126192012,370001000,0.5859618873807988,2004
140,The Martian,630161890,228433663,0.36249996488997455,401728227,0.6375000351100255,2015
141,Hancock,629443428,227946274,0.3621394137425167,401497154,0.6378605862574833,2008
142,Fast Five,626137675,209837675,0.33513024911014977,416300000,0.6648697508898502,2011
143,Men in Black 3,624026776,179020854,0.2868800841328001,445005922,0.7131199158671999,2012
144,Iron Man 2,623933331,312433331,0.5007479412892594,311500000,0.4992520587107407,2010
145,Ratatouille,623726085,206445654,0.3309876866862158,417280431,0.6690123133137842,2007
146,Ant-Man and the Wasp,622674139,216648740,0.3479327732285988,406025399,0.6520672267714012,2018
147,How to Train Your Dragon 2,621537519,177002924,0.2847823640393944,444534595,0.7152176359606056,2014
148,Logan,619021436,226277068,0.36553995522701094,392744368,0.6344600447729891,2017
149,The Passion of the Christ,611486736,370274604,0.6055317019991747,241212132,0.39446829800082533,2004
150,Mamma Mia!,609841637,144130063,0.23634014841790804,465711574,0.7636598515820919,2008
151,Life of Pi,609016565,124987023,0.20522762463776334,484029542,0.7947723753622367,2012
152,Casino Royale,605999592,167445960,0.27631365137948805,438553632,0.723686348620512,2006
153,Transformers: The Last Knight,605425157,130168683,0.21500375644284633,475256474,0.7849962435571537,2017
154,Madagascar: Escape 2 Africa,603900354,180010950,0.298080550553875,423889404,0.701919449446125,2008
155,War of the Worlds,603873119,234280354,0.38796287933459084,369592765,0.6120371206654092,2005
156,Tangled,592461732,200821936,0.33896186901738995,391639796,0.66103813098261,2010
