Rank,Release Group,Worldwide,Domestic,%,Foreign,%
141,Judas and the Black Messiah,"$6,795,355","$5,446,607",80.2%,"$1,348,748",19.8%
142,Face Off: 48H,"$6,781,370",-,-,"$6,781,370",100%
143,Seobok,"$6,778,823",-,-,"$6,778,823",100%
144,Silver Skates,"$6,727,993",-,-,"$6,727,993",100%
145,Dream Horse,"$6,593,760","$2,913,328",44.2%,"$3,680,432",55.8%
146,Ainbo,"$6,481,477",-,-,"$6,481,477",100%
147,Island Keeper,"$6,410,000",-,-,"$6,410,000",100%
148,Copshop,"$6,325,223","$5,151,935",81.5%,"$1,173,288",18.5%
149,August Never Ends,"$6,200,000",-,-,"$6,200,000",100%
150,The Hobbit: The Battle of the Five Armies 2020 Re-release,"$6,163,077",-,-,"$6,163,077",100%
151,Penguin Bloom,"$6,155,199",-,-,"$6,155,199",100%
152,The Forgotten Battle,"$5,955,183",-,-,"$5,955,183",100%
153,The Blood of Wolves,"$5,908,700",-,-,"$5,908,700",100%
154,Me contro te - Il mistero della scuola incantata,"$5,879,431",-,-,"$5,879,431",100%
155,Brave: Gunjyo Senki,"$5,677,186",-,-,"$5,677,186",100%
156,Suicide Forest Village,"$5,649,792",-,-,"$5,649,792",100%
157,Secret Magic Control Agency,"$5,631,112",-,-,"$5,631,112",100%
158,The Ice Road,"$5,547,480",-,-,"$5,547,480",100%
159,Chernobyl: Abyss,"$5,538,706",-,-,"$5,538,706",100%
160,Octonauts: The Ring of Fire,"$5,512,875",-,-,"$5,512,875",100%
161,Hell's Garden,"$5,450,978",-,-,"$5,450,978",100%
162,Kiba: The Fangs of Fiction,"$5,283,305",-,-,"$5,283,305",100%
163,Roadrunner: A Film About Anthony Bourdain,"$5,249,970","$5,249,970",100%,-,-
164,Beautiful Lure: A Modern Tale of Painted Skin,"$5,239,977",-,-,"$5,239,977",100%
165,Poly,"$5,236,154",-,-,"$5,236,154",100%
166,Rebels @ School,"$5,183,317",-,-,"$5,183,317",100%
167,A Morning of Farewell,"$5,075,369",-,-,"$5,075,369",100%
168,Forever Passion,"$5,060,000",-,-,"$5,060,000",100%
169,Love Story,"$5,016,645","$971,000",19.4%,"$4,045,645",80.6%
170,Red,"$4,920,261",-,-,"$4,920,261",100%
171,Zola,"$4,913,306","$4,844,399",98.6%,"$68,907",1.4%
172,Palma,"$4,792,171",-,-,"$4,792,171",100%
173,Under the Open Sky,"$4,702,781",-,-,"$4,702,781",100%
174,Family Swap,"$4,628,692",-,-,"$4,628,692",100%
175,Wrong Turn,"$4,561,737","$1,251,184",27.4%,"$3,310,553",72.6%
176,Separation,"$4,509,143","$4,509,143",100%,-,-
177,Major Grom: Plague Doctor,"$4,493,306",-,-,"$4,493,306",100%
178,Prababushka lyogkogo povedeniya,"$4,424,649",-,-,"$4,424,649",100%
179,V2. Escape from Hell,"$4,392,744",-,-,"$4,392,744",100%
180,77 Heartwarmings,"$4,345,693",-,-,"$4,345,693",100%
181,The Relatives,"$4,300,000",-,-,"$4,300,000",100%
182,Voyagers,"$4,298,184","$3,149,935",73.3%,"$1,148,249",26.7%
183,"Prvok, Sampon, Tecka a Karel","$4,294,659",-,-,"$4,294,659",100%
184,Ostwind - Der große Orkan,"$4,217,300",-,-,"$4,217,300",100%
185,Girls und Panzer das Finale: Part III,"$4,216,657",-,-,"$4,216,657",100%
186,Miracle,"$4,213,088",-,-,"$4,213,088",100%
187,Boogie,"$4,191,023","$4,178,620",99.7%,"$12,403",0.3%
188,Kamen Rider Saber + Kikai Sentai Zenkaiger: Super Hero Senki,"$4,111,708",-,-,"$4,111,708",100%
189,The Lord of the Rings: The Two Towers 2021 Re-release,"$4,084,695",-,-,"$4,084,695",100%
190,Operación Camarón,"$3,915,204",-,-,"$3,915,204",100%
191,Master Ji Gong,"$3,860,000",-,-,"$3,860,000",100%
192,Karnan,"$3,817,585",-,-,"$3,817,585",100%
193,Operation Portugal,"$3,795,575","$1,096",<0.1%,"$3,794,479",100%
194,12 Mighty Orphans,"$3,709,952","$3,686,295",99.4%,"$23,657",0.6%
195,"Summer of Soul (...Or, When the Revolution Could Not Be Televised)","$3,610,758","$2,320,649",64.3%,"$1,290,109",35.7%
196,Lie Detector,"$3,600,000",-,-,"$3,600,000",100%
197,The Lord of the Rings: The Return of the King 2021 Re-release,"$3,573,925",-,-,"$3,573,925",100%
198,Presidents,"$3,569,522",-,-,"$3,569,522",100%
199,Mission Possible,"$3,563,279",-,-,"$3,563,279",100%
200,Miracle: Letters to the President,"$3,547,112",-,-,"$3,547,112",100%
