Date,NIO,WKHS,CRSR,IWDA.AS,SXR8.DE
2019-11-15,1.7999999523162842,2.740000009536743,,55.255001068115234,279.80999755859375
2019-11-18,1.7999999523162842,2.5899999141693115,,55.18000030517578,279.3900146484375
2019-11-19,1.8300000429153442,2.5799999237060547,,55.18000030517578,279.4100036621094
2019-11-20,1.840000033378601,2.509999990463257,,55.11000061035156,279.4100036621094
2019-11-21,1.9800000190734863,2.6500000953674316,,54.85499954223633,277.8599853515625
2019-11-22,1.940000057220459,2.740000009536743,,55.11000061035156,279.260009765625
2019-11-25,2.049999952316284,2.5799999237060547,,55.67499923706055,282.1600036621094
2019-11-26,2.2799999713897705,2.680000066757202,,55.75,282.7900085449219
2019-11-27,2.4600000381469727,2.740000009536743,,56.0099983215332,284.04998779296875
2019-11-28,,,,55.9900016784668,284.19000244140625
2019-11-29,2.2699999809265137,2.75,,55.7400016784668,283.45001220703125
2019-12-02,2.440000057220459,2.859999895095825,,54.86000061035156,278.67999267578125
2019-12-03,2.4000000953674316,2.7699999809265137,,54.36000061035156,275.6400146484375
2019-12-04,2.4200000762939453,2.799999952316284,,55.040000915527344,279.1499938964844
2019-12-05,2.2699999809265137,3.0199999809265137,,54.8849983215332,278.0400085449219
2019-12-06,2.259999990463257,2.875,,55.779998779296875,283.1400146484375
2019-12-09,2.2200000286102295,2.9100000858306885,,55.58000183105469,282.17999267578125
2019-12-10,2.2699999809265137,2.890000104904175,,55.375,280.9100036621094
2019-12-11,2.259999990463257,2.859999895095825,,55.380001068115234,280.80999755859375
2019-12-12,2.2699999809265137,2.809999942779541,,55.6349983215332,282.57000732421875
2019-12-13,2.390000104904175,2.8299999237060547,,55.73500061035156,282.3999938964844
2019-12-16,2.4800000190734863,2.875,,56.310001373291016,285.0400085449219
2019-12-17,2.5899999141693115,3.0950000286102295,,56.1349983215332,284.5799865722656
2019-12-18,2.630000114440918,3.240000009536743,,56.279998779296875,285.7099914550781
2019-12-19,2.619999885559082,3.25,,56.36000061035156,286.04998779296875
2019-12-20,2.690000057220459,3.369999885559082,,56.8849983215332,289.4100036621094
2019-12-23,2.6700000762939453,3.5199999809265137,,56.84000015258789,289.1199951171875
2019-12-24,2.5299999713897705,3.4600000381469727,,56.84000015258789,
2019-12-26,2.509999990463257,3.4600000381469727,,,
2019-12-27,2.4200000762939453,3.2200000286102295,,56.779998779296875,288.69000244140625
2019-12-30,3.7200000286102295,3.049999952316284,,56.209999084472656,287.80999755859375
